日期,股票代码,名称,收盘价,最高价,最低价,开盘价,涨跌额,涨跌幅,换手率,成交量,成交金额
2019-01-31,'600007,中国国贸,13.28,13.32,13.17,13.17,0.09,0.6823,0.04,402683,5341534.0
2019-01-30,'600007,中国国贸,13.19,13.27,13.1,13.17,0.02,0.1519,0.0455,458100,6048400.0
2019-01-29,'600007,中国国贸,13.17,13.35,13.1,13.35,-0.16,-1.2003,0.0496,499574,6593549.0
2019-01-28,'600007,中国国贸,13.33,13.44,13.32,13.4,-0.07,-0.5224,0.0443,445900,5966213.0
2019-01-25,'600007,中国国贸,13.4,13.47,13.31,13.38,0.02,0.1495,0.1124,1132625,15154786.0
2019-01-24,'600007,中国国贸,13.38,13.47,13.32,13.45,-0.12,-0.8889,0.0491,494283,6616971.0
2019-01-23,'600007,中国国贸,13.5,13.5,13.32,13.49,0.05,0.3717,0.0438,441100,5907508.0
2019-01-22,'600007,中国国贸,13.45,13.6,13.4,13.48,0.0,0.0,0.0696,700769,9470383.0
2019-01-21,'600007,中国国贸,13.45,13.54,13.42,13.47,-0.02,-0.1485,0.0435,437939,5902358.0
2019-01-18,'600007,中国国贸,13.47,13.52,13.3,13.38,0.09,0.6726,0.0466,469500,6298307.0
2019-01-17,'600007,中国国贸,13.38,13.5,13.32,13.5,-0.06,-0.4464,0.0684,689377,9241154.0
2019-01-16,'600007,中国国贸,13.44,13.55,13.39,13.44,0.04,0.2985,0.0706,711000,9576605.0
2019-01-15,'600007,中国国贸,13.4,13.47,13.3,13.4,0.0,0.0,0.0684,689115,9242512.0
2019-01-14,'600007,中国国贸,13.4,13.62,13.23,13.39,0.02,0.1495,0.0818,824099,11046864.0
2019-01-11,'600007,中国国贸,13.38,13.4,13.11,13.11,0.18,1.3636,0.0623,627359,8364760.0
2019-01-10,'600007,中国国贸,13.2,13.41,13.1,13.34,-0.19,-1.419,0.0905,911299,12060299.0
2019-01-09,'600007,中国国贸,13.39,13.48,13.32,13.32,-0.01,-0.0746,0.0756,761529,10212656.0
2019-01-08,'600007,中国国贸,13.4,13.51,13.13,13.28,0.12,0.9036,0.1035,1042844,13880378.0
2019-01-07,'600007,中国国贸,13.28,13.6,13.19,13.21,0.1,0.7587,0.1451,1461731,19570171.0
2019-01-04,'600007,中国国贸,13.18,13.36,12.9,12.9,0.23,1.7761,0.1076,1084014,14248949.0
2019-01-03,'600007,中国国贸,12.95,13.08,12.92,12.93,-0.01,-0.0772,0.0484,487495,6340285.0
2019-01-02,'600007,中国国贸,12.96,13.0,12.8,12.82,0.16,1.25,0.0543,546924,7060368.0
